,Unnamed: 0,Cd,name,num_Movie,filmos,num_Movie_edited,difference
0,0,10013266,드웨인 존슨,8,"['쥬만지: 새로운 세계', '램페이지', '스카이스크래퍼', '분노의 질주: 홉스&쇼', '쥬만지: 넥스트 레벨', '정글 크루즈', 'DC 리그 오브 슈퍼-펫', '블랙 아담']",8,0
1,1,10060900,잭 블랙,4,"['쥬만지: 새로운 세계', '벽 속에 숨은 마법시계', '구스범스: 몬스터의 역습', '쥬만지: 넥스트 레벨']",4,0
2,2,10075582,케빈 하트,5,"['쥬만지: 새로운 세계', '업사이드', '마이펫의 이중생활 2', '쥬만지: 넥스트 레벨', 'DC 리그 오브 슈퍼-펫']",5,0
3,3,10073312,카렌 길런,6,"['쥬만지: 새로운 세계', '어벤져스: 인피니티 워', '어벤져스: 엔드게임', '쥬만지: 넥스트 레벨', '콜 오브 와일드', '건파우더 밀크셰이크']",6,0
4,4,20325612,매디슨 아이스먼,3,"['쥬만지: 새로운 세계', '구스범스: 몬스터의 역습', '애나벨 집으로']",3,0
5,5,10068094,존 시나,5,"['페르디난드', '범블비', '닥터 두리틀', '분노의 질주: 더 얼티메이트', '더 수어사이드 스쿼드']",5,0
6,6,10060795,케이트 맥키넌,3,"['페르디난드', '나를 차버린 스파이', '예스터데이']",3,0
7,7,10012140,데이비드 테넌트,1,['페르디난드'],1,0
8,8,10028241,바비 카나베일,1,['페르디난드'],1,0
9,9,10026914,미구엘 앙겔 실베스트르,1,['페르디난드'],1,0
10,10,10015606,지나 로드리게즈,1,['페르디난드'],1,0
11,11,10000222,가엘 가르시아 베르날,2,"['코코', '올드']",2,0
12,12,10027582,앤서니 곤잘레스,1,['코코'],1,0
13,13,10031239,벤자민 브랫,1,['코코'],1,0
14,14,10055626,이병헌,4,"['그것만이 내 세상', '백두산', '남산의 부장들', '비상선언']",4,0
15,15,10054391,윤여정,4,"['그것만이 내 세상', '지푸라기라도 잡고 싶은 짐승들', '찬실이는 복도 많지', '미나리']",4,0
16,16,20110693,박정민,10,"['그것만이 내 세상', '염력', '변산', '사바하', '타짜: 원 아이드 잭', '시동', '다만 악에서 구하소서', '다만 악에서 구하소서 파이널컷', '기적', '헤어질 결심']",10,0
17,17,10087751,한지민,6,"['그것만이 내 세상', '허스토리', '미쓰백', '김복동', '조제', '해피 뉴 이어']",6,0
18,18,10004577,김성령,3,"['그것만이 내 세상', '독전', '독전: 익스텐디드 컷']",3,0
19,19,20297929,이주영,10,"['그것만이 내 세상', '그것만이 내 세상', '독전', '독전', '미쓰백', '조제', '아무도 없는 곳', '보이스', '윤시내가 사라졌다', '비상선언']",8,2
20,20,20231368,최리,3,"['그것만이 내 세상', '소리꾼', '여고괴담 여섯번째 이야기 : 모교']",3,0
21,21,20195029,이가경,16,"['그것만이 내 세상', '인랑', '뺑반', '기묘한 가족', '돈', '블랙머니', '블랙머니', '아내를 죽였다', '해치지않아', '헌트', '오케이 마담', '내가 죽던 날', '특송', '공기살인', '브로커', '대무가']",15,1
22,22,20313673,이상준,1,['그것만이 내 세상'],1,0
23,23,20313704,박현주,1,['그것만이 내 세상'],1,0
24,24,20289623,이소정,1,['그것만이 내 세상'],1,0
25,25,20196179,이정호,2,"['그것만이 내 세상', '독전']",2,0
26,26,20314641,이종승,1,['그것만이 내 세상'],1,0
27,27,20314648,이준석,1,['그것만이 내 세상'],1,0
28,28,20291839,안성봉,24,"['그것만이 내 세상', '독전', '인랑', '협상', '명당', 'PMC: 더 벙커', '극한직업', '뺑반', '증인', '걸캅스', '악인전', '기생충', '비스트', '나쁜 녀석들: 더 무비', '나쁜 녀석들: 더 무비', '해치지않아', '히트맨', '미스터 주: 사라진 VIP', '싱크홀', '유체이탈자', '헤어질 결심', '한산: 용의 출현', '올빼미', '한산 리덕스']",23,1
29,29,20316352,박상훈,3,"['그것만이 내 세상', '신의 한 수: 귀수편', '경관의 피']",3,0
30,30,20316423,박성훈,2,"['그것만이 내 세상', '결백']",2,0
31,31,20316454,박소은,4,"['그것만이 내 세상', '사자', '소리꾼', '애비규환']",4,0
32,32,20182448,장혜리,2,"['그것만이 내 세상', '돌멩이']",2,0
33,33,20316885,정승환,1,['그것만이 내 세상'],1,0
34,34,20137023,박지연,6,"['그것만이 내 세상', '그것만이 내 세상', '챔피언', '챔피언', '더 펜션', '더 펜션']",3,3
35,35,20111145,박지연,8,"['그것만이 내 세상', '그것만이 내 세상', '챔피언', '챔피언', '더 펜션', '더 펜션', '돌멩이', '미션 파서블']",5,3
36,36,20186167,박지훈,5,"['그것만이 내 세상', '그것만이 내 세상', '협상', '성난황소', '백두산']",4,1
37,37,20288301,조윤주,1,['그것만이 내 세상'],1,0
38,38,20172100,김동규,8,"['그것만이 내 세상', '치즈인더트랩', '명당', '여곡성', '도어락', '봉오동 전투', '유열의 음악앨범', '오! 문희']",8,0
39,39,20306149,김민주,2,"['그것만이 내 세상', '죄 많은 소녀']",2,0
40,40,20110159,김유진,9,"['그것만이 내 세상', '여중생A', '속닥속닥', '협상', '기방도령', '봉오동 전투', '나쁜 녀석들: 더 무비', '아내를 죽였다', '천문: 하늘에 묻는다']",9,0
